@RELATION train

@ATTRIBUTE day NUMERIC
@ATTRIBUTE temperature NUMERIC
@ATTRIBUTE precipitation NUMERIC
@ATTRIBUTE sales NUMERIC

@DATA
5,8.7,0,1317390
6,8.1,0,1312227
7,7.3,0,1309498
1,6.1,0.4,1251378
2,7.1,0,1305706
3,8.8,0,1317651
4,10.6,0,1327227
5,8.6,1.5,1174825
6,9,1,1185083
7,9,0,1325828
1,11.4,0,1332976
2,14.1,0,1380613
3,12,37.5,718234
4,10.4,3,1134195
5,14.5,0,1415069
6,13,0.5,1207585
7,14.8,0.5,1208243
1,16.5,0,1467790
2,15.3,0,1453711
3,11.5,0,1348336
4,12.7,0,1362281
5,13,6,986980
6,16.8,0,1495876
7,18.7,0,1561297
1,14.7,5.5,1029919
2,11.7,7.5,967334
3,12.6,0,1358203
4,12.9,0.1,1295559
5,13.1,0,1376702
6,14.8,0,1439047
7,14.9,0,1448149
1,15.1,0,1450418
2,16,0,1463232
3,15.1,0,1452081
4,13.6,0,1378066
5,14.4,0,1386587
6,17.1,0,1520821
7,19.3,0,1600924
1,20.1,0,1624044
2,20.7,0,1657893
3,21.5,0,1708176
4,21,0,1672943
5,20.9,0,1663592
6,14.9,0,1446878
7,16.6,0,1487884
1,17.9,0,1544408
2,17.1,2.5,1145422
3,16.4,2.5,1142017
4,19.3,0,1592299
5,19.1,0,1568936
6,16.4,6,1028097
7,15.7,0,1457092
1,16,0,1461833
2,17.1,0,1515018
3,18.7,0,1552088
4,20.4,0,1637676
5,21.1,0,1676364
6,20.9,0,1667393
7,21.5,0,1708485
1,21.8,0,1711470
2,20,5,1068838
3,21.8,0.1,1302690
4,19.2,0,1573789
5,17.7,0,1541308
6,19.5,0,1613513
7,21.2,0,1677252
1,22.9,0,1810668
2,23.6,0,1854840
3,23.3,0,1832384
4,23.3,0,1839104
5,20.5,0,1645650
6,20.5,0,1649449
7,21.7,0,1708913
1,24.2,0,1882018
2,19.4,15.5,870004
3,17.6,12.5,923237
4,20.1,0,1629076
5,21.2,0.1,1298919
6,21.5,4.5,1084069
7,22.8,0,1807014
1,22.1,0,1754513
2,21.5,0,1694467
3,21.8,0,1732945
4,23.1,0,1830918
5,25.5,0,1947206
6,24.2,0,1890556
7,24.3,0,1904057
1,24.8,0,1917941
2,26,0,1965579
3,25.4,0,1946032
4,25.3,0,1925080
5,26.7,0,2005138
6,24.5,3.5,1104330
7,23.8,1.5,181159
1,23.1,29,824598
2,25.2,0,1922710
3,26,0,1971019
4,26.2,0,1986504
5,25.9,0,1961079
6,25.3,0.5,1228905
7,24.3,92,532417
1,24.7,67.5,569582
2,26.7,0.5,1236778
3,27.4,0,2047286
4,27.6,34,744031
5,26.4,16.5,868991
6,26,4.5,1091461
7,26.3,32.5,762330
1,24,144.5,401538
2,26,1,1203379
3,27.1,0,2019528
4,27.6,0,2052139
5,28.7,0,2151393
6,25,42.5,638310
7,26.2,22.5,846636
1,26.8,7.5,980995
2,26.5,2.5,1150266
3,28.3,0,2085670
4,29.9,0,2231606
5,29.8,0,2203896
6,29.3,0.5,1244973
7,27,133.5,424887
1,26.2,3,1139732
2,29.4,0,2170940
3,28.7,0,2112375
4,27.1,3.5,1120921
5,25.5,8.5,946706
6,27.2,0,2023244
7,27.9,0,2078018
1,25.7,3.5,1104530
2,28.6,2,1170467
3,30,0,2379168
4,30.2,0,2465897
5,30.3,0,2510821
6,31.4,0,2527201
7,29.8,5,1083387
1,29.2,0,2160521
2,28.2,0,2079405
3,27.6,2.5,1151067
4,24.8,5.5,1068300
5,27,0.5,1241970
6,27.8,0,2072277
7,26.3,0,2002212
1,24.6,1.5,1184983
2,21.9,93.5,513854
3,23.3,2,1161968
4,24.8,0.5,1224135
5,26.3,0,1994074
6,26.1,0,1971460
7,23.2,124.5,465419
1,25.8,5,1079076
2,27.3,0,2035222
3,27.2,31.5,816280
4,26.5,14,897135
5,25.3,0,1934936
6,24.2,0,1901330
7,22.7,0,1796231
1,21.5,9,937481
2,19.5,0,1606969
3,19.8,0,1614336
4,22.2,0,1763809
5,23.3,0,1847648
6,23.8,0,1874883
7,23.7,0,1866817
1,24.6,0,1907668
2,21.9,0,1744235
3,20.6,2,1158783
4,22.4,0,1770520
5,24.3,0,1901715
6,23.8,0,1876881
7,23,0.5,1223224
1,21.2,24,832493
2,22.1,0,1758264
3,21.4,0,1679444
4,22.4,0,1776255
5,22.6,0,1791822
6,22,0,1749859
7,23.1,0,1832329
1,21.9,0,1737200
2,22.6,8,963832
3,19.5,0,1610220
4,20.3,0,1633587
5,20.6,0,1656761
6,21.8,0,1733782
7,22.4,0,1786993
1,23.4,0,1852294
2,25.1,0,1922327
3,22.7,0.5,1220463
4,19.2,0,1577103
5,17.4,0,1521645
6,20,0,1618589
7,18.2,4,1102995
1,22,1.5,1179067
2,17.6,0,1521783
3,16.7,0,1488291
4,18.7,0,1555814
5,18.9,0.5,1209027
6,21.9,0,1744661
7,23,0,1813853
1,22.5,0,1787578
2,21.4,0.4,1287743
3,15.5,20,847675
4,11.4,0,1345173
5,12.8,0,1363833
6,14.4,0,1391084
7,15.8,0,1458858
1,16.6,0,1475474
2,16.2,0,1465408
3,16.5,0.1,1297433
4,17,0,1509611
5,17,0,1510842
6,17.6,0,1522714
7,16.3,0,1466991
1,13.7,0,1380050
2,14.4,0,1382717
3,14.4,0,1385084
4,14.5,0,1413676
5,16.9,0,1506978
6,17.2,0,1521031
7,11.5,0,1358159
1,7.7,0,1310791
